up_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock
2020-03-16,2508.590088,2562.97998,2380.939941,2386.129883,7781540000,0,0,S&P500
2020-03-16,20917.5293,21768.2793,20116.46094,20188.51953,770130000,0,0,Dow Jones
2020-03-16,7392.72998,7422.200195,6882.859863,6904.589844,4594360000,0,0,Nasdaq
2020-03-17,2425.659912,2553.929932,2367.040039,2529.189941,8358500000,0,0,S&P500
2020-03-17,20487.05078,21379.34961,19882.25977,21237.38086,793060000,0,0,Dow Jones
2020-03-17,7072,7406.22998,6828.910156,7334.779785,4900000000,0,0,Nasdaq
2020-03-18,2436.5,2453.570068,2280.52002,2398.100098,8755780000,0,0,S&P500
2020-03-18,20188.68945,20489.33008,18917.46094,19898.91992,871360000,0,0,Dow Jones
2020-03-18,6902.319824,7182.830078,6686.359863,6989.839844,4890820000,0,0,Nasdaq
2020-03-19,2393.47998,2466.969971,2319.780029,2409.389893,7946710000,0,0,S&P500
2020-03-19,19830.00977,20442.63086,19177.13086,20087.18945,780300000,0,0,Dow Jones
2020-03-19,6996.450195,7341.379883,6858.379883,7150.580078,4762170000,0,0,Nasdaq
2020-03-20,2431.939941,2453.01001,2295.560059,2304.919922,9044690000,0,0,S&P500
2020-03-20,20253.15039,20531.25977,19094.26953,19173.98047,872290000,0,0,Dow Jones
2020-03-20,7248.069824,7354.439941,6854.669922,6879.52002,5239940000,0,0,Nasdaq
2020-03-23,2290.709961,2300.72998,2191.860107,2237.399902,7402180000,0,0,S&P500
2020-03-23,19028.35938,19121.00977,18213.65039,18591.92969,787970000,0,0,Dow Jones
2020-03-23,6847.279785,6984.939941,6631.419922,6860.669922,4330610000,0,0,Nasdaq
2020-03-24,2344.439941,2449.709961,2344.439941,2447.330078,7547350000,0,0,S&P500
2020-03-24,19722.18945,20737.69922,19649.25,20704.91016,799340000,0,0,Dow Jones
2020-03-24,7196.149902,7418.370117,7169.859863,7417.859863,4417380000,0,0,Nasdaq
2020-03-25,2457.77002,2571.419922,2407.530029,2475.560059,8285670000,0,0,S&P500
2020-03-25,21050.33984,22019.92969,20538.33984,21200.55078,796320000,0,0,Dow Jones
2020-03-25,7421.359863,7671.209961,7276.399902,7384.299805,4666440000,0,0,Nasdaq
2020-03-26,2501.290039,2637.01001,2500.719971,2630.070068,7753160000,0,0,S&P500
2020-03-26,21468.38086,22595.06055,21427.09961,22552.16992,705180000,0,0,Dow Jones
2020-03-26,7462.209961,7809.830078,7462.209961,7797.540039,3999850000,0,0,Nasdaq
2020-03-27,2555.870117,2615.909912,2520.02002,2541.469971,6194330000,0,0,S&P500
2020-03-27,21898.4707,22327.57031,21469.26953,21636.7793,588830000,0,0,Dow Jones
2020-03-27,7554.25,7716.240234,7491.140137,7502.379883,3977010000,0,0,Nasdaq
2020-03-30,2558.97998,2631.800049,2545.280029,2626.649902,5746220000,0,0,S&P500
2020-03-30,21678.2207,22378.08984,21522.08008,22327.48047,545540000,0,0,Dow Jones
2020-03-30,7583.459961,7784.350098,7539.970215,7774.149902,3846900000,0,0,Nasdaq
2020-03-31,2614.689941,2641.389893,2571.149902,2584.590088,6568290000,0,0,S&P500
2020-03-31,22208.41992,22480.36914,21852.08008,21917.16016,571210000,0,0,Dow Jones
2020-03-31,7740.060059,7880.310059,7642.859863,7700.100098,4059700000,0,0,Nasdaq
2020-04-01,2498.080078,2522.75,2447.48999,2470.5,5947900000,0,0,S&P500
2020-04-01,21227.38086,21487.24023,20784.42969,20943.50977,506680000,0,0,Dow Jones
2020-04-01,7459.5,7566.370117,7301.97998,7360.580078,3685510000,0,0,Nasdaq
2020-04-02,2458.540039,2533.219971,2455.790039,2526.899902,6454990000,0,0,S&P500
2020-04-02,20819.46094,21477.76953,20735.01953,21413.43945,529540000,0,0,Dow Jones
2020-04-02,7317.450195,7501.700195,7307.950195,7487.310059,3608190000,0,0,Nasdaq
2020-04-03,2514.919922,2538.179932,2459.959961,2488.649902,6087190000,0,0,S&P500
2020-04-03,21285.92969,21447.81055,20863.08984,21052.5293,450010000,0,0,Dow Jones
2020-04-03,7477.27002,7518.720215,7288.109863,7373.080078,3279100000,0,0,Nasdaq
2020-04-06,2578.280029,2676.850098,2574.570068,2663.679932,6391860000,0,0,S&P500
2020-04-06,21693.63086,22783.44922,21693.63086,22679.99023,610760000,0,0,Dow Jones
2020-04-06,7660.169922,7938.330078,7617.790039,7913.240234,3849100000,0,0,Nasdaq
2020-04-07,2738.649902,2756.889893,2657.669922,2659.409912,7040720000,0,0,S&P500
2020-04-07,23537.43945,23617.24023,22634.44922,22653.85938,594660000,0,0,Dow Jones
2020-04-07,8129.990234,8146.430176,7881.220215,7887.259766,4069410000,0,0,Nasdaq
2020-04-08,2685,2760.75,2663.300049,2749.97998,5856370000,0,0,S&P500
2020-04-08,22893.4707,23513.40039,22682.99023,23433.57031,472740000,0,0,Dow Jones
2020-04-08,7975.720215,8114.430176,7901.939941,8090.899902,3470730000,0,0,Nasdaq
2020-04-09,2776.98999,2818.570068,2762.360107,2789.820068,7880140000,0,0,S&P500
2020-04-09,23690.66016,24008.99023,23504.08984,23719.36914,566400000,0,0,Dow Jones
2020-04-09,8169.009766,8227.910156,8072.319824,8153.580078,4123670000,0,0,Nasdaq
2020-04-13,2782.459961,2782.459961,2721.169922,2761.629883,5274310000,0,0,S&P500
2020-04-13,23698.92969,23698.92969,23095.34961,23390.76953,394320000,0,0,Dow Jones
2020-04-13,8127.689941,8200.44043,8035.950195,8192.419922,3146860000,0,0,Nasdaq
2020-04-14,2805.100098,2851.850098,2805.100098,2846.060059,5567400000,0,0,S&P500
2020-04-14,23690.57031,24040.58008,23683.43945,23949.75977,485910000,0,0,Dow Jones
2020-04-14,8353.209961,8531.110352,8338.080078,8515.740234,3732820000,0,0,Nasdaq
2020-04-15,2795.639893,2801.879883,2761.540039,2783.360107,5203390000,0,0,S&P500
2020-04-15,23600.7207,23649.7207,23233.32031,23504.34961,437630000,0,0,Dow Jones
2020-04-15,8355.959961,8464.660156,8308.790039,8393.179688,3333750000,0,0,Nasdaq
2020-04-16,2799.340088,2806.51001,2764.320068,2799.550049,5179990000,0,0,S&P500
